_to,_from,cityFrom,cityTo,distance,time
1,2,Greenock,Glasgow,43.8,
2,3,Glasgow,Preston,,
2,17,Glasgow,Edinburgh,75.4,67
3,4,Preston,Birmingham,793,437
4,5,Birmingham,Southampton,1691,951
4,855,Birmingham,Cambridge,,
6,7,Le Havre,Paris,197,144
6,880,Le Havre,Amiens,182,120
7,8,Paris,Orléans,133,95
7,22,Paris,Calais,295,179
7,23,Paris,Lyon,466,267
7,411,Paris,Brussels,313,203
7,453,Paris,Le Mans,208,132
7,454,Paris,Reims,146,97
7,889,Paris,Chaumont,,
8,9,Orléans,Bordeaux,463,272
8,479,Orléans,Tours,118,79
8,480,Orléans,Montargis,74.3,60
8,561,Orléans,Toulouse,554,323
9,10,Bordeaux,San Sebastián,236,162
9,537,Bordeaux,Clermont-Ferrand,375,233
9,561,Bordeaux,Toulouse,245,148
9,1074,Bordeaux,Angoulême,119,95
10,11,San Sebastián,Burgos,214,136
10,536,San Sebastián,Bilbao,102,72
10,561,San Sebastián,Toulouse,349,206
11,12,Burgos,Madrid,249,152
11,560,Burgos,Valladolid,127,82
12,13,Madrid,Seville,535,304
12,27,Madrid,Barcelona,621,360
12,30,Madrid,Valencia,,
12,559,Madrid,Lisbon,630,358
13,14,Seville,Algeciras,184,115
13,596,Seville,Huelva,92.7,66
13,1138,Seville,Mérida,,
14,34,Algeciras,Málaga,135,88
15,16,Inverness,Perth,,
16,17,Perth,Edinburgh,,
17,18,Edinburgh,Newcastle,193,143
18,19,Newcastle,London,444,306
18,823,Newcastle,Carlisle,,
19,20,London,Folkestone,114,104
19,388,London,Bristol,189,142
19,389,London,Colchester,105,89
19,627,London,Northampton,,
20,21,Folkestone,Dover,,
22,409,Calais,Bruges,113,84
22,885,Calais,Rouen,214,132
23,24,Lyon,Orange,,
23,537,Lyon,Clermont-Ferrand,165,109
23,538,Lyon,Chambéry,107,76
23,1078,Lyon,Pont-d'Ain,58.8,
23,1109,Lyon,Grenoble,111,76
24,25,Orange,Narbonne,,
24,1110,Orange,Marseille,,
25,26,Narbonne,Girona,158,109
26,27,Girona,Barcelona,105,83
27,28,Barcelona,Tarragona,101,79
27,561,Barcelona,Toulouse,395,251
28,29,Tarragona,Castellón de la Plana,188,117
29,30,Castellón de la Plana,Valencia,,
30,31,Valencia,Alicante,,
31,32,Alicante,Murcia,81.5,
32,33,Murcia,Almería,218,134
33,34,Almería,Málaga,200,129
34,1159,Málaga,Granada,131,90
35,36,Hook of Holland,Rotterdam,30.3,
35,392,Hook of Holland,The Hague,19.2,
36,37,Rotterdam,Eindhoven,111,77
36,631,Rotterdam,Ludwigshafen,479,294
37,38,Eindhoven,Maastricht,89.9,66
37,628,Eindhoven,Antwerp,88.0,72
37,863,Eindhoven,Venlo,59.4,
37,1011,Eindhoven,Breda,60.5,
38,39,Maastricht,Liège,36.5,
39,40,Liège,Bastogne,86.8,
39,412,Liège,Leuven,82.3,
39,413,Liège,Eupen,38.8,
39,628,Liège,Antwerp,130,86
39,875,Liège,Namur,65.0,
39,876,Liège,St. Vith,79.1,
39,881,Liège,Charleville-Mézières,182,116
40,41,Bastogne,Arlon,,
41,42,Arlon,Luxembourg,,
42,43,Luxembourg,Metz,99.7,69
42,876,Luxembourg,St. Vith,62.6,
42,881,Luxembourg,Charleville-Mézières,144,112
42,882,Luxembourg,Trier,72.4,
43,44,Metz,Saint-Avold,45.8,
43,50,Metz,Lausanne,378,284
43,51,Metz,Geneva,518,299
43,411,Metz,Brussels,274,177
43,454,Metz,Reims,189,114
43,455,Metz,Saarbrücken,77.6,
44,45,Saint-Avold,Strasbourg,128,80
45,46,Strasbourg,Mulhouse,114,75
45,888,Strasbourg,Appenweier,22.2,
46,47,Mulhouse,Basel,36.7,
46,485,Mulhouse,Belfort,40.6,
46,889,Mulhouse,Chaumont,,
46,1036,Mulhouse,Remiremont,82.2,90
47,48,Basel,Olten,52.8,
47,73,Basel,Offenburg,123,83
47,486,Basel,Zürich,87.4,69
47,890,Basel,Waldshut,64.0,
48,49,Olten,Bern,66.4,
48,74,Olten,Lucerne,54.1,
49,50,Bern,Lausanne,105,76
49,485,Bern,Belfort,151,116
49,629,Bern,Martigny,132,83
50,51,Lausanne,Geneva,63.7,
50,629,Lausanne,Martigny,69.8,
51,52,Geneva,Mont Blanc,,
51,538,Geneva,Chambéry,87.7,67
51,901,Geneva,Mâcon,152,99
52,53,Mont Blanc,Aosta,,
53,54,Aosta,Ivrea,74.3,
53,629,Aosta,Martigny,75.4,81
54,55,Ivrea,Vercelli,52.3,
54,540,Ivrea,Turin,54.1,
55,56,Vercelli,Alessandria,56.1,
56,57,Alessandria,Genoa,86.6,72
56,540,Alessandria,Turin,90.1,70
56,541,Alessandria,Tortona,22.4,
56,912,Alessandria,Asti,,
57,86,Genoa,Rome,500,323
57,541,Genoa,Tortona,76.2,70
57,562,Genoa,Nice,196,145
58,59,Bastia,Porto-Vecchio,143,136
59,60,Porto-Vecchio,Bonifacio,,
61,62,Porto Torres,Sassari,25.3,
62,63,Sassari,Cagliari,215,136
62,1144,Sassari,Olbia,104,76
64,65,Amsterdam,Utrecht,59.2,
64,394,Amsterdam,Amersfoort,59.6,
64,411,Amsterdam,Brussels,206,152
64,842,Amsterdam,Groningen,189,121
65,66,Utrecht,Arnhem,64.8,
65,393,Utrecht,Gouda,,
65,394,Utrecht,Amersfoort,25.4,
65,1012,Utrecht,Gorinchem,42.2,
66,67,Arnhem,Emmerich,34.0,
67,68,Emmerich,Oberhausen,63.4,
68,69,Oberhausen,Cologne,76.5,60
68,669,Oberhausen,Dortmund,49.9,
68,863,Oberhausen,Venlo,57.5,
69,70,Cologne,Frankfurt am Main,190,126
69,414,Cologne,Aachen,73.0,67
69,415,Cologne,Olpe,73.9,
69,630,Cologne,Sarreguemines,289,201
69,633,Cologne,Bremen,315,203
70,71,Frankfurt am Main,Heidelberg,88.7,65
70,417,Frankfurt am Main,Gießen,68.1,
70,456,Frankfurt am Main,Mannheim,84.2,65
70,670,Frankfurt am Main,Aschaffenburg,40.4,
70,879,Frankfurt am Main,Wiesbaden,39.0,
71,72,Heidelberg,Karlsruhe,55.1,
72,73,Karlsruhe,Offenburg,78.5,
72,671,Karlsruhe,Stuttgart,79.0,
72,888,Karlsruhe,Appenweier,71.1,
73,1037,Offenburg,Donaueschingen,88.9,89
74,75,Lucerne,Altdorf,41.5,
75,76,Altdorf,Gotthard Pass,64.1,60
75,486,Altdorf,Zürich,75.9,60
76,77,Gotthard Pass,Bellinzona,70.6,62
77,78,Bellinzona,Lugano,32.1,
77,677,Bellinzona,San Bernardino,,
78,79,Lugano,Chiasso,26.1,
79,80,Chiasso,Como,7.1,
80,81,Como,Milan,50.2,
81,82,Milan,Piacenza,67.8,70
81,540,Milan,Turin,144,115
81,541,Milan,Tortona,77.3,71
81,542,Milan,Brescia,104,85
81,904,Milan,Gravellona Toce,97.0,77
82,83,Piacenza,Parma,64.2,
83,84,Parma,Modena,63.0,
83,632,Parma,La Spezia,124,94
84,85,Modena,Florence,134,107
84,115,Modena,Verona,105,77
84,116,Modena,Bologna,43.0,
85,86,Florence,Rome,273,184
85,914,Florence,Migliarino,175,123
86,154,Rome,Pescara,208,131
86,1143,Rome,San Cesareo,38.1,
87,88,Karesuvanto,Karesuando,2.2,
88,89,Karesuando,Arvidsjaur,449,335
89,90,Arvidsjaur,Östersund,448,350
90,91,Östersund,Mora,,
90,604,Östersund,Trondheim,261,227
90,798,Östersund,Sundsvall,189,154
91,92,Mora,Säffle,,
92,93,Säffle,Gothenburg,194,149
93,374,Gothenburg,Halmstad,144,97
93,375,Gothenburg,Örebro,285,206
93,600,Gothenburg,Oslo,290,195
94,95,Frederikshavn,Aalborg,65.6,
95,96,Aalborg,Aarhus,119,81
95,668,Aalborg,Nørresundby,2.5,
96,97,Aarhus,Vejle,72.1,
97,98,Vejle,Kolding,32.8,
98,99,Kolding,Flensburg,88.1,70
99,100,Flensburg,Hamburg,161,117
100,101,Hamburg,Hanover,159,102
100,137,Hamburg,Berlin,289,190
100,633,Hamburg,Bremen,126,80
100,681,Hamburg,Lübeck,67.7,
101,102,Hanover,Göttingen,123,93
101,397,Hanover,Bad Oeynhausen,78.7,
101,398,Hanover,Braunschweig,66.0,
102,103,Göttingen,Kassel,49.5,
103,104,Kassel,Fulda,116,87
103,669,Kassel,Dortmund,161,110
104,105,Fulda,Würzburg,109,73
105,106,Würzburg,Nuremberg,110,78
105,670,Würzburg,Aschaffenburg,79.6,
105,671,Würzburg,Stuttgart,147,96
105,673,Würzburg,Ulm,,
106,107,Nuremberg,Munich,170,113
106,457,Nuremberg,Heilbronn,171,116
106,458,Nuremberg,Rozvadov,145,98
106,693,Nuremberg,Bayreuth,88.4,68
106,891,Nuremberg,Regensburg,114,81
107,108,Munich,Rosenheim,66.5,
107,144,Munich,Salzburg,144,96
107,673,Munich,Ulm,,
107,674,Munich,Lindau,181,116
107,695,Munich,Deggendorf,145,87
107,1040,Munich,Garmisch-Partenkirchen,89.0,69
107,1044,Munich,Braunau am Inn,121,83
108,109,Rosenheim,Wörgl,55.3,
108,496,Rosenheim,Bad Reichenhall,74.1,
109,110,Wörgl,Innsbruck,60.4,
109,1079,Wörgl,St. Johann in Tirol,32.1,
110,111,Innsbruck,Brenner,54.6,
110,493,Innsbruck,Telfs,32.6,
110,494,Innsbruck,Lauterach,186,135
110,495,Innsbruck,Imst,62.2,
110,1042,Innsbruck,Seefeld,27.0,
111,112,Brenner,Fortezza,,
112,113,Fortezza,Bolzano,,
112,905,Fortezza,Innichen,,
113,114,Bolzano,Trento,58.6,
114,115,Trento,Verona,99.4,72
115,149,Verona,Mestre,110,79
115,542,Verona,Brescia,69.8,
116,117,Bologna,Cesena,92.9,69
117,118,Cesena,Perugia,154,114
117,150,Cesena,Ravenna,35.4,
117,151,Cesena,Rimini,38.9,
118,119,Perugia,Fiano Romano,144,102
119,120,Fiano Romano,Naples,,
120,121,Naples,Salerno,,
120,1145,Naples,Avellino,,
121,122,Salerno,Sicignano degli Alburni,61.7,
121,1145,Salerno,Avellino,40.1,
122,123,Sicignano degli Alburni,Cosenza,207,130
122,1150,Sicignano degli Alburni,Potenza,58.5,
123,124,Cosenza,Villa San Giovanni,177,110
123,1149,Cosenza,Crotone,112,97
125,126,Messina,Catania,95.9,73
125,573,Messina,Palermo,224,151
126,127,Catania,Siracusa,67.2,
126,1161,Catania,Enna,86.0,67
127,128,Siracusa,Gela,137,113
128,572,Gela,Mazara del Vallo,187,158
129,130,Helsingør,Copenhagen,45.0,
130,131,Copenhagen,Køge,45.4,
130,164,Copenhagen,Malmö,42.1,
130,372,Copenhagen,Esbjerg,298,186
131,132,Køge,Vordingborg,59.5,
132,133,Vordingborg,Farø,13.3,
133,134,Farø,Nykøbing Falster,37.2,
133,678,Farø,Rødby,65.0,
134,135,Nykøbing Falster,Gedser,24.6,
136,137,Rostock,Berlin,231,160
136,681,Rostock,Lübeck,124,79
136,843,Rostock,Sassnitz,154,108
137,138,Berlin,Lübbenau,96.9,74
137,169,Berlin,Szczecin,150,112
137,171,Berlin,Świebodzin,182,126
137,399,Berlin,Magdeburg,156,109
137,690,Berlin,Leipzig,190,132
137,994,Berlin,Neubrandenburg,183,118
138,139,Lübbenau,Dresden,104,71
138,864,Lübbenau,Cottbus,36.1,
139,140,Dresden,Ústí nad Labem,69.2,
139,422,Dresden,Chemnitz,77.9,60
139,423,Dresden,Görlitz,110,75
140,141,Ústí nad Labem,Prague,91.0,63
141,142,Prague,Tábor,91.8,68
141,178,Prague,Mladá Boleslav,64.5,
141,179,Prague,Jihlava,128,79
141,459,Prague,Plzeň,95.4,73
141,687,Prague,Karlovy Vary,130,112
141,715,Prague,Hradec Králové,115,76
142,143,Tábor,Linz,158,119
143,144,Linz,Salzburg,132,81
143,497,Linz,Sattledt,36.4,
143,498,Linz,Sankt Pölten,126,81
143,893,Linz,Wels,,
144,145,Salzburg,Villach,194,126
144,496,Salzburg,Bad Reichenhall,24.5,
144,497,Salzburg,Sattledt,96.2,
144,1080,Salzburg,Lofer,52.1,
145,146,Villach,Tarvisio,32.8,
145,701,Villach,Karavanke Tunnel,22.6,
145,906,Villach,Spittal an der Drau,40.0,
145,907,Villach,Klagenfurt,40.3,
146,147,Tarvisio,Udine,100,74
147,148,Udine,Palmanova,20.2,
148,149,Palmanova,Mestre,102,71
148,543,Palmanova,Trieste,52.6,
149,150,Mestre,Ravenna,137,132
151,152,Rimini,Fano,54.9,
152,153,Fano,Ancona,74.1,
152,917,Fano,Sansepolcro,113,106
153,154,Ancona,Pescara,161,111
154,155,Pescara,Canosa di Puglia,246,145
155,156,Canosa di Puglia,Bari,,
155,1146,Canosa di Puglia,Benevento,132,88
156,157,Bari,Brindisi,,
156,576,Bari,Taranto,,
157,576,Brindisi,Taranto,70.9,
158,159,Igoumenitsa,Preveza,86.4,70
158,577,Igoumenitsa,Ioannina,78.1,63
159,160,Preveza,Rhion,165,140
160,161,Rhion,Patras,16.1,
160,210,Rhion,Aigio,36.2,
161,162,Patras,Pyrgos,534,683
162,163,Pyrgos,Kalamata,562,695
163,212,Kalamata,Tripoli,2658,77
164,165,Malmö,Ystad,59.2,
164,373,Malmö,Helsingborg,64.8,
164,599,Malmö,Trelleborg,,
164,844,Malmö,Kalmar,284,197
166,167,Świnoujście,Wolin,30.9,61
167,168,Wolin,Goleniów,58.0,
168,169,Goleniów,Szczecin,37.2,
168,856,Goleniów,Koszalin,133,78
169,170,Szczecin,Gorzów Wielkopolski,105,71
170,171,Gorzów Wielkopolski,Świebodzin,71.1,
171,172,Świebodzin,Zielona Góra,44.0,
171,400,Świebodzin,Poznań,111,77
172,173,Zielona Góra,Legnica,105,75
173,174,Legnica,Jelenia Góra,83.1,64
173,423,Legnica,Görlitz,102,71
173,424,Legnica,Wrocław,78.3,66
173,864,Legnica,Cottbus,155,97
174,175,Jelenia Góra,Harrachov,32.6,
175,176,Harrachov,Železný Brod,32.2,
176,177,Železný Brod,Turnov,14.5,
177,178,Turnov,Mladá Boleslav,32.1,
177,715,Turnov,Hradec Králové,74.2,73
177,1030,Turnov,Teplice,164,98
179,180,Jihlava,Brno,91.2,
179,499,Jihlava,Vienna,164,146
180,181,Brno,Bratislava,131,85
180,460,Brno,Trenčín,136,127
180,499,Brno,Vienna,140,109
180,1031,Brno,Olomouc,79.4,60
180,1032,Brno,Svitavy,69.0,70
181,182,Bratislava,Rajka,21.6,
181,234,Bratislava,Žilina,203,117
181,235,Bratislava,Győr,82.0,68
181,499,Bratislava,Vienna,78.7,
181,735,Bratislava,Zvolen,196,112
181,1049,Bratislava,Dunajská Streda,47.0,
182,183,Rajka,Csorna,56.5,
183,184,Csorna,Szombathely,69.1,
184,185,Szombathely,Zalaegerszeg,56.4,
185,186,Zalaegerszeg,Nagykanizsa,51.5,
186,187,Nagykanizsa,Letenye,22.5,
186,188,Nagykanizsa,Zagreb,134,96
186,718,Nagykanizsa,Balatonvilágos,121,72
187,188,Letenye,Zagreb,116,83
187,1083,Letenye,Torniyiszentmiklós,21.1,
188,189,Zagreb,Karlovac,53.3,
188,545,Zagreb,Ljubljana,138,103
188,546,Zagreb,Slavonski Brod,191,119
188,699,Zagreb,Maribor,116,100
189,190,Karlovac,Rijeka,113,75
189,719,Karlovac,Knin,251,157
190,191,Rijeka,Split,,
190,543,Rijeka,Trieste,76.1,84
190,1113,Rijeka,Pula,109,88
191,192,Split,Dubrovnik,,
191,719,Split,Knin,,
192,193,Dubrovnik,Petrovac,111,159
192,194,Dubrovnik,Podgorica,150,154
193,194,Petrovac,Podgorica,53.2,
193,1153,Petrovac,Prizren,244,229
194,195,Podgorica,Bijelo Polje,121,123
194,196,Podgorica,Pristina,318,260
194,1116,Podgorica,Sarajevo,230,245
195,196,Bijelo Polje,Pristina,191,199
195,1124,Bijelo Polje,Nova Varoš,78.1,90
196,197,Pristina,Skopje,93.0,82
196,241,Pristina,Niš,292,203
196,1153,Pristina,Prizren,85.3,69
197,198,Skopje,Kičevo,111,100
197,242,Skopje,Kumanovo,40.5,
197,243,Skopje,Veles,54.6,
198,199,Kičevo,Ohrid,62.1,
199,200,Ohrid,Bitola,69.1,68
200,201,Bitola,Niki,,
201,202,Niki,Vevi,,
202,203,Vevi,Kozani,63.5,
203,204,Kozani,Larissa,121,112
203,246,Kozani,Thessaloniki,125,88
203,577,Kozani,Ioannina,144,104
204,205,Larissa,Domokos,75.2,74
204,206,Larissa,Lamia,150,101
204,247,Larissa,Katerini,83.5,60
204,931,Larissa,Trikala,62.2,
204,932,Larissa,Volos,64.1,
205,206,Domokos,Lamia,38.3,
206,207,Lamia,Brallos,32.8,
206,248,Lamia,Athens,213,138
206,1170,Lamia,Karpenisi,73.2,83
207,208,Brallos,Itea,,
208,209,Itea,Antirrio,,
210,211,Aigio,Corinth,99.9,63
211,212,Corinth,Tripoli,2505,75
211,933,Corinth,Megara,,
212,1171,Tripoli,Sparti,2585,77
213,214,Kissamos,Chania,37.8,
214,249,Chania,Heraklion,144,120
215,216,Vardø,Vadsø,74.2,63
216,217,Vadsø,Varangerbotn,49.5,
217,218,Varangerbotn,Utsjoki,78.2,64
217,288,Varangerbotn,Kirkenes,123,101
217,616,Varangerbotn,Karasjok,197,148
218,219,Utsjoki,Inari,,
219,220,Inari,Ivalo,,
220,221,Ivalo,Sodankylä,159,112
221,222,Sodankylä,Rovaniemi,129,92
221,703,Sodankylä,Kemijärvi,99.6,81
222,223,Rovaniemi,Kemi,,
223,224,Kemi,Oulu,,
223,802,Kemi,Tornio,,
224,225,Oulu,Jyväskylä,339,248
224,808,Oulu,Kokkola,199,157
225,226,Jyväskylä,Heinola,133,98
225,708,Jyväskylä,Kuopio,148,114
225,709,Jyväskylä,Tampere,149,117
226,227,Heinola,Lahti,38.2,
227,228,Lahti,Helsinki,110,85
228,811,Helsinki,Hämeenlinna,101,76
228,834,Helsinki,Turku/Naantali,182,125
228,835,Helsinki,Kotka,133,97
229,230,Gdańsk,Świecie,120,80
229,730,Gdańsk,Kaliningrad,166,129
229,731,Gdańsk,Elbląg,60.5,
229,858,Gdańsk,Gdynia,21.4,
230,231,Świecie,Łódź,246,147
230,400,Świecie,Poznań,186,154
231,232,Łódź,Piotrków Trybunalski,47.4,
232,233,Piotrków Trybunalski,Katowice,159,121
232,401,Piotrków Trybunalski,Warsaw,136,90
232,424,Piotrków Trybunalski,Wrocław,226,157
233,234,Katowice,Žilina,168,140
233,427,Katowice,Zabrze,21.5,
233,428,Katowice,Kraków,81.0,62
233,1033,Katowice,Český Těšín,90.9,71
234,1031,Žilina,Olomouc,149,132
235,236,Győr,Budapest,121,79
235,1051,Győr,Vámosszabadi,9.8,
236,237,Budapest,Szeged,175,110
236,501,Budapest,Mosonmagyaróvár,162,96
236,502,Budapest,Szolnok,111,92
236,717,Budapest,Miskolc,186,118
236,718,Budapest,Balatonvilágos,92.8,
236,720,Budapest,Szekszárd,156,92
236,735,Budapest,Zvolen,158,145
237,238,Szeged,Subotica,45.5,
