_to,_from,cityFrom,cityTo
1,2,Greenock,Glasgow
2,3,Glasgow,Preston
2,17,Glasgow,Edinburgh
3,4,Preston,Birmingham
4,5,Birmingham,Southampton
4,855,Birmingham,Cambridge
6,7,Le Havre,Paris
6,880,Le Havre,Amiens
7,8,Paris,Orléans
7,22,Paris,Calais
7,23,Paris,Lyon
7,411,Paris,Brussels
7,453,Paris,Le Mans
7,454,Paris,Reims
7,889,Paris,Chaumont
8,9,Orléans,Bordeaux
8,479,Orléans,Tours
8,480,Orléans,Montargis
8,561,Orléans,Toulouse
9,10,Bordeaux,San Sebastián
9,537,Bordeaux,Clermont-Ferrand
9,561,Bordeaux,Toulouse
9,1074,Bordeaux,Angoulême
10,11,San Sebastián,Burgos
10,536,San Sebastián,Bilbao
10,561,San Sebastián,Toulouse
11,12,Burgos,Madrid
11,560,Burgos,Valladolid
12,13,Madrid,Seville
12,27,Madrid,Barcelona
12,30,Madrid,Valencia
12,559,Madrid,Lisbon
13,14,Seville,Algeciras
13,596,Seville,Huelva
13,1138,Seville,Mérida
14,34,Algeciras,Málaga
15,16,Inverness,Perth
16,17,Perth,Edinburgh
17,18,Edinburgh,Newcastle
18,19,Newcastle,London
18,823,Newcastle,Carlisle
19,20,London,Folkestone
19,388,London,Bristol
19,389,London,Colchester
19,627,London,Northampton
20,21,Folkestone,Dover
22,409,Calais,Bruges
22,885,Calais,Rouen
23,24,Lyon,Orange
23,537,Lyon,Clermont-Ferrand
23,538,Lyon,Chambéry
23,1078,Lyon,Pont-d'Ain
23,1109,Lyon,Grenoble
24,25,Orange,Narbonne
24,1110,Orange,Marseille
25,26,Narbonne,Girona
26,27,Girona,Barcelona
27,28,Barcelona,Tarragona
27,561,Barcelona,Toulouse
28,29,Tarragona,Castellón de la Plana
29,30,Castellón de la Plana,Valencia
30,31,Valencia,Alicante
31,32,Alicante,Murcia
32,33,Murcia,Almería
33,34,Almería,Málaga
34,1159,Málaga,Granada
35,36,Hook of Holland,Rotterdam
35,392,Hook of Holland,The Hague
36,37,Rotterdam,Eindhoven
36,631,Rotterdam,Ludwigshafen
37,38,Eindhoven,Maastricht
37,628,Eindhoven,Antwerp
37,863,Eindhoven,Venlo
37,1011,Eindhoven,Breda
38,39,Maastricht,Liège
39,40,Liège,Bastogne
39,412,Liège,Leuven
39,413,Liège,Eupen
39,628,Liège,Antwerp
39,875,Liège,Namur
39,876,Liège,St. Vith
39,881,Liège,Charleville-Mézières
40,41,Bastogne,Arlon
41,42,Arlon,Luxembourg
42,43,Luxembourg,Metz
42,876,Luxembourg,St. Vith
42,881,Luxembourg,Charleville-Mézières
42,882,Luxembourg,Trier
43,44,Metz,Saint-Avold
43,50,Metz,Lausanne
43,51,Metz,Geneva
43,411,Metz,Brussels
43,454,Metz,Reims
43,455,Metz,Saarbrücken
44,45,Saint-Avold,Strasbourg
45,46,Strasbourg,Mulhouse
45,888,Strasbourg,Appenweier
46,47,Mulhouse,Basel
46,485,Mulhouse,Belfort
46,889,Mulhouse,Chaumont
46,1036,Mulhouse,Remiremont
47,48,Basel,Olten
47,73,Basel,Offenburg
47,486,Basel,Zürich
47,890,Basel,Waldshut
48,49,Olten,Bern
48,74,Olten,Lucerne
49,50,Bern,Lausanne
49,485,Bern,Belfort
49,629,Bern,Martigny
50,51,Lausanne,Geneva
50,629,Lausanne,Martigny
51,52,Geneva,Mont Blanc
51,538,Geneva,Chambéry
51,901,Geneva,Mâcon
52,53,Mont Blanc,Aosta
53,54,Aosta,Ivrea
53,629,Aosta,Martigny
54,55,Ivrea,Vercelli
54,540,Ivrea,Turin
55,56,Vercelli,Alessandria
56,57,Alessandria,Genoa
56,540,Alessandria,Turin
56,541,Alessandria,Tortona
56,912,Alessandria,Asti
57,86,Genoa,Rome
57,541,Genoa,Tortona
57,562,Genoa,Nice
58,59,Bastia,Porto-Vecchio
59,60,Porto-Vecchio,Bonifacio
61,62,Porto Torres,Sassari
62,63,Sassari,Cagliari
62,1144,Sassari,Olbia
64,65,Amsterdam,Utrecht
64,394,Amsterdam,Amersfoort
64,411,Amsterdam,Brussels
64,842,Amsterdam,Groningen
65,66,Utrecht,Arnhem
65,393,Utrecht,Gouda
65,394,Utrecht,Amersfoort
65,1012,Utrecht,Gorinchem
66,67,Arnhem,Emmerich
67,68,Emmerich,Oberhausen
68,69,Oberhausen,Cologne
68,669,Oberhausen,Dortmund
68,863,Oberhausen,Venlo
69,70,Cologne,Frankfurt am Main
69,414,Cologne,Aachen
69,415,Cologne,Olpe
69,630,Cologne,Sarreguemines
69,633,Cologne,Bremen
70,71,Frankfurt am Main,Heidelberg
70,417,Frankfurt am Main,Gießen
70,456,Frankfurt am Main,Mannheim
70,670,Frankfurt am Main,Aschaffenburg
70,879,Frankfurt am Main,Wiesbaden
71,72,Heidelberg,Karlsruhe
72,73,Karlsruhe,Offenburg
72,671,Karlsruhe,Stuttgart
72,888,Karlsruhe,Appenweier
73,1037,Offenburg,Donaueschingen
74,75,Lucerne,Altdorf
75,76,Altdorf,Gotthard Pass
75,486,Altdorf,Zürich
76,77,Gotthard Pass,Bellinzona
77,78,Bellinzona,Lugano
77,677,Bellinzona,San Bernardino
78,79,Lugano,Chiasso
79,80,Chiasso,Como
80,81,Como,Milan
81,82,Milan,Piacenza
81,540,Milan,Turin
81,541,Milan,Tortona
81,542,Milan,Brescia
81,904,Milan,Gravellona Toce
82,83,Piacenza,Parma
83,84,Parma,Modena
83,632,Parma,La Spezia
84,85,Modena,Florence
84,115,Modena,Verona
84,116,Modena,Bologna
85,86,Florence,Rome
85,914,Florence,Migliarino
86,154,Rome,Pescara
86,1143,Rome,San Cesareo
87,88,Karesuvanto,Karesuando
88,89,Karesuando,Arvidsjaur
89,90,Arvidsjaur,Östersund
90,91,Östersund,Mora
90,604,Östersund,Trondheim
90,798,Östersund,Sundsvall
91,92,Mora,Säffle
92,93,Säffle,Gothenburg
93,374,Gothenburg,Halmstad
93,375,Gothenburg,Örebro
93,600,Gothenburg,Oslo
94,95,Frederikshavn,Aalborg
95,96,Aalborg,Aarhus
95,668,Aalborg,Nørresundby
96,97,Aarhus,Vejle
97,98,Vejle,Kolding
98,99,Kolding,Flensburg
99,100,Flensburg,Hamburg
100,101,Hamburg,Hanover
100,137,Hamburg,Berlin
100,633,Hamburg,Bremen
100,681,Hamburg,Lübeck
101,102,Hanover,Göttingen
101,397,Hanover,Bad Oeynhausen
101,398,Hanover,Braunschweig
102,103,Göttingen,Kassel
103,104,Kassel,Fulda
103,669,Kassel,Dortmund
104,105,Fulda,Würzburg
105,106,Würzburg,Nuremberg
105,670,Würzburg,Aschaffenburg
105,671,Würzburg,Stuttgart
105,673,Würzburg,Ulm
106,107,Nuremberg,Munich
106,457,Nuremberg,Heilbronn
106,458,Nuremberg,Rozvadov
106,693,Nuremberg,Bayreuth
106,891,Nuremberg,Regensburg
107,108,Munich,Rosenheim
107,144,Munich,Salzburg
107,673,Munich,Ulm
107,674,Munich,Lindau
107,695,Munich,Deggendorf
107,1040,Munich,Garmisch-Partenkirchen
107,1044,Munich,Braunau am Inn
108,109,Rosenheim,Wörgl
108,496,Rosenheim,Bad Reichenhall
109,110,Wörgl,Innsbruck
109,1079,Wörgl,St. Johann in Tirol
110,111,Innsbruck,Brenner
110,493,Innsbruck,Telfs
110,494,Innsbruck,Lauterach
110,495,Innsbruck,Imst
110,1042,Innsbruck,Seefeld
111,112,Brenner,Fortezza
112,113,Fortezza,Bolzano
112,905,Fortezza,Innichen
113,114,Bolzano,Trento
114,115,Trento,Verona
115,149,Verona,Mestre
115,542,Verona,Brescia
116,117,Bologna,Cesena
117,118,Cesena,Perugia
117,150,Cesena,Ravenna
117,151,Cesena,Rimini
118,119,Perugia,Fiano Romano
119,120,Fiano Romano,Naples
120,121,Naples,Salerno
120,1145,Naples,Avellino
121,122,Salerno,Sicignano degli Alburni
121,1145,Salerno,Avellino
122,123,Sicignano degli Alburni,Cosenza
122,1150,Sicignano degli Alburni,Potenza
123,124,Cosenza,Villa San Giovanni
123,1149,Cosenza,Crotone
125,126,Messina,Catania
125,573,Messina,Palermo
126,127,Catania,Siracusa
126,1161,Catania,Enna
127,128,Siracusa,Gela
128,572,Gela,Mazara del Vallo
129,130,Helsingør,Copenhagen
130,131,Copenhagen,Køge
130,164,Copenhagen,Malmö
130,372,Copenhagen,Esbjerg
131,132,Køge,Vordingborg
132,133,Vordingborg,Farø
133,134,Farø,Nykøbing Falster
133,678,Farø,Rødby
134,135,Nykøbing Falster,Gedser
136,137,Rostock,Berlin
136,681,Rostock,Lübeck
136,843,Rostock,Sassnitz
137,138,Berlin,Lübbenau
137,169,Berlin,Szczecin
137,171,Berlin,Świebodzin
137,399,Berlin,Magdeburg
137,690,Berlin,Leipzig
137,994,Berlin,Neubrandenburg
138,139,Lübbenau,Dresden
138,864,Lübbenau,Cottbus
139,140,Dresden,Ústí nad Labem
139,422,Dresden,Chemnitz
139,423,Dresden,Görlitz
140,141,Ústí nad Labem,Prague
141,142,Prague,Tábor
141,178,Prague,Mladá Boleslav
141,179,Prague,Jihlava
141,459,Prague,Plzeň
141,687,Prague,Karlovy Vary
141,715,Prague,Hradec Králové
142,143,Tábor,Linz
143,144,Linz,Salzburg
143,497,Linz,Sattledt
143,498,Linz,Sankt Pölten
143,893,Linz,Wels
144,145,Salzburg,Villach
144,496,Salzburg,Bad Reichenhall
144,497,Salzburg,Sattledt
144,1080,Salzburg,Lofer
145,146,Villach,Tarvisio
145,701,Villach,Karavanke Tunnel
145,906,Villach,Spittal an der Drau
145,907,Villach,Klagenfurt
146,147,Tarvisio,Udine
147,148,Udine,Palmanova
148,149,Palmanova,Mestre
148,543,Palmanova,Trieste
149,150,Mestre,Ravenna
151,152,Rimini,Fano
152,153,Fano,Ancona
152,917,Fano,Sansepolcro
153,154,Ancona,Pescara
154,155,Pescara,Canosa di Puglia
155,156,Canosa di Puglia,Bari
155,1146,Canosa di Puglia,Benevento
156,157,Bari,Brindisi
156,576,Bari,Taranto
157,576,Brindisi,Taranto
158,159,Igoumenitsa,Preveza
158,577,Igoumenitsa,Ioannina
159,160,Preveza,Rhion
160,161,Rhion,Patras
160,210,Rhion,Aigio
161,162,Patras,Pyrgos
162,163,Pyrgos,Kalamata
163,212,Kalamata,Tripoli
164,165,Malmö,Ystad
164,373,Malmö,Helsingborg
164,599,Malmö,Trelleborg
164,844,Malmö,Kalmar
166,167,Świnoujście,Wolin
167,168,Wolin,Goleniów
168,169,Goleniów,Szczecin
168,856,Goleniów,Koszalin
169,170,Szczecin,Gorzów Wielkopolski
170,171,Gorzów Wielkopolski,Świebodzin
171,172,Świebodzin,Zielona Góra
171,400,Świebodzin,Poznań
172,173,Zielona Góra,Legnica
173,174,Legnica,Jelenia Góra
173,423,Legnica,Görlitz
173,424,Legnica,Wrocław
173,864,Legnica,Cottbus
174,175,Jelenia Góra,Harrachov
175,176,Harrachov,Železný Brod
176,177,Železný Brod,Turnov
177,178,Turnov,Mladá Boleslav
177,715,Turnov,Hradec Králové
177,1030,Turnov,Teplice
179,180,Jihlava,Brno
179,499,Jihlava,Vienna
180,181,Brno,Bratislava
180,460,Brno,Trenčín
180,499,Brno,Vienna
180,1031,Brno,Olomouc
180,1032,Brno,Svitavy
181,182,Bratislava,Rajka
181,234,Bratislava,Žilina
181,235,Bratislava,Győr
181,499,Bratislava,Vienna
181,735,Bratislava,Zvolen
181,1049,Bratislava,Dunajská Streda
182,183,Rajka,Csorna
183,184,Csorna,Szombathely
184,185,Szombathely,Zalaegerszeg
185,186,Zalaegerszeg,Nagykanizsa
186,187,Nagykanizsa,Letenye
186,188,Nagykanizsa,Zagreb
186,718,Nagykanizsa,Balatonvilágos
187,188,Letenye,Zagreb
187,1083,Letenye,Torniyiszentmiklós
188,189,Zagreb,Karlovac
188,545,Zagreb,Ljubljana
188,546,Zagreb,Slavonski Brod
188,699,Zagreb,Maribor
189,190,Karlovac,Rijeka
189,719,Karlovac,Knin
190,191,Rijeka,Split
190,543,Rijeka,Trieste
190,1113,Rijeka,Pula
191,192,Split,Dubrovnik
191,719,Split,Knin
192,193,Dubrovnik,Petrovac
192,194,Dubrovnik,Podgorica
193,194,Petrovac,Podgorica
193,1153,Petrovac,Prizren
194,195,Podgorica,Bijelo Polje
194,196,Podgorica,Pristina
194,1116,Podgorica,Sarajevo
195,196,Bijelo Polje,Pristina
195,1124,Bijelo Polje,Nova Varoš
196,197,Pristina,Skopje
196,241,Pristina,Niš
196,1153,Pristina,Prizren
197,198,Skopje,Kičevo
197,242,Skopje,Kumanovo
197,243,Skopje,Veles
198,199,Kičevo,Ohrid
199,200,Ohrid,Bitola
200,201,Bitola,Niki
201,202,Niki,Vevi
202,203,Vevi,Kozani
203,204,Kozani,Larissa
203,246,Kozani,Thessaloniki
203,577,Kozani,Ioannina
204,205,Larissa,Domokos
204,206,Larissa,Lamia
204,247,Larissa,Katerini
204,931,Larissa,Trikala
204,932,Larissa,Volos
205,206,Domokos,Lamia
206,207,Lamia,Brallos
206,248,Lamia,Athens
206,1170,Lamia,Karpenisi
207,208,Brallos,Itea
208,209,Itea,Antirrio
210,211,Aigio,Corinth
211,212,Corinth,Tripoli
211,933,Corinth,Megara
212,1171,Tripoli,Sparti
213,214,Kissamos,Chania
214,249,Chania,Heraklion
215,216,Vardø,Vadsø
216,217,Vadsø,Varangerbotn
217,218,Varangerbotn,Utsjoki
217,288,Varangerbotn,Kirkenes
217,616,Varangerbotn,Karasjok
218,219,Utsjoki,Inari
219,220,Inari,Ivalo
220,221,Ivalo,Sodankylä
221,222,Sodankylä,Rovaniemi
221,703,Sodankylä,Kemijärvi
222,223,Rovaniemi,Kemi
223,224,Kemi,Oulu
223,802,Kemi,Tornio
224,225,Oulu,Jyväskylä
224,808,Oulu,Kokkola
225,226,Jyväskylä,Heinola
225,708,Jyväskylä,Kuopio
225,709,Jyväskylä,Tampere
226,227,Heinola,Lahti
227,228,Lahti,Helsinki
228,811,Helsinki,Hämeenlinna
228,834,Helsinki,Turku/Naantali
228,835,Helsinki,Kotka
229,230,Gdańsk,Świecie
229,730,Gdańsk,Kaliningrad
229,731,Gdańsk,Elbląg
229,858,Gdańsk,Gdynia
230,231,Świecie,Łódź
230,400,Świecie,Poznań
231,232,Łódź,Piotrków Trybunalski
232,233,Piotrków Trybunalski,Katowice
232,401,Piotrków Trybunalski,Warsaw
232,424,Piotrków Trybunalski,Wrocław
233,234,Katowice,Žilina
233,427,Katowice,Zabrze
233,428,Katowice,Kraków
233,1033,Katowice,Český Těšín
234,1031,Žilina,Olomouc
235,236,Győr,Budapest
235,1051,Győr,Vámosszabadi
236,237,Budapest,Szeged
236,501,Budapest,Mosonmagyaróvár
236,502,Budapest,Szolnok
236,717,Budapest,Miskolc
236,718,Budapest,Balatonvilágos
236,720,Budapest,Szekszárd
236,735,Budapest,Zvolen
237,238,Szeged,Subotica
237,910,Szeged,Arad
238,239,Subotica,Novi Sad
238,1092,Subotica,Sombor
239,240,Novi Sad,Belgrade
240,241,Belgrade,Niš
240,546,Belgrade,Slavonski Brod
240,547,Belgrade,Vršac
240,1118,Belgrade,Čačak
241,242,Niš,Kumanovo
241,549,Niš,Drobeta-Turnu Severin
241,563,Niš,Sofia
242,1154,Kumanovo,Kyustendil
243,244,Veles,Gevgelija
244,245,Gevgelija,Evzoni
245,246,Evzoni,Thessaloniki
246,247,Thessaloniki,Katerini
246,276,Thessaloniki,Alexandroupoli
246,747,Thessaloniki,Serres
249,250,Heraklion,Agios Nikolaos
250,251,Agios Nikolaos,Sitia
252,253,Klaipėda,Kaunas
252,1009,Klaipėda,Palanga
253,254,Kaunas,Vilnius
253,401,Kaunas,Warsaw
253,711,Kaunas,Riga
253,995,Kaunas,Ukmergė
254,255,Vilnius,Lida
254,403,Vilnius,Minsk
254,860,Vilnius,Marijampolė
254,995,Vilnius,Ukmergė
255,256,Lida,Slonim
256,257,Slonim,Kobryn
257,258,Kobryn,Dubno
258,259,Dubno,Ternopil
259,260,Ternopil,Chernivtsi
259,466,Ternopil,Stryj
259,467,Ternopil,Khmelnytskyi
260,261,Chernivtsi,Siret
261,262,Siret,Suceava
262,263,Suceava,Roman
262,748,Suceava,Halmeu
262,894,Suceava,Iaşi
263,264,Roman,Urziceni
264,265,Urziceni,Bucharest
264,510,Urziceni,Slobozia
265,266,Bucharest,Giurgiu
265,509,Bucharest,Ploieşti
265,512,Bucharest,Constanţa
265,551,Bucharest,Alexandria
265,753,Bucharest,Piteşti
266,267,Giurgiu,Ruse
267,268,Ruse,Byala
267,552,Ruse,Razgrad
268,269,Byala,Veliko Tarnovo
268,754,Byala,Pleven
269,270,Veliko Tarnovo,Stara Zagora
269,553,Veliko Tarnovo,Shumen
269,1125,Veliko Tarnovo,Yablanitsa
270,271,Stara Zagora,Haskovo
270,760,Stara Zagora,Burgas
270,1126,Stara Zagora,Popovica
271,272,Haskovo,Svilengrad
272,273,Svilengrad,Ormenio
273,274,Ormenio,Kastanies
274,275,Kastanies,Didymoteicho
275,276,Didymoteicho,Alexandroupoli
276,578,Alexandroupoli,Gelibolu
277,278,Saint Petersburg,Pskov
277,284,Saint Petersburg,Moscow
277,290,Saint Petersburg,Petrozavodsk
277,378,Saint Petersburg,Narva
277,837,Saint Petersburg,Vyborg
278,279,Pskov,Gomel
278,711,Pskov,Riga
279,280,Gomel,Kiev
279,1008,Gomel,Babruysk
280,281,Kiev,Odessa
280,287,Kiev,Hlukhiv
280,292,Kiev,Kharkiv
280,433,Kiev,Rivne
280,434,Kiev,Zhytomyr
281,756,Odessa,Izmail
281,896,Odessa,Chişinău
281,897,Odessa,Mykolaiv
282,283,Samsun,Merzifon
282,555,Samsun,Ordu
284,285,Moscow,Kaluga
284,291,Moscow,Orel
284,296,Moscow,Yaroslavl
284,297,Moscow,Voronezh
284,310,Moscow,Tambov
284,404,Moscow,Smolensk
284,405,Moscow,Ryazan
284,847,Moscow,Velikiye Luki
284,848,Moscow,Vladimir
285,286,Kaluga,Bryansk
286,287,Bryansk,Hlukhiv
287,865,Hlukhiv,Kursk
288,289,Kirkenes,Murmansk
289,290,Murmansk,Petrozavodsk
291,292,Orel,Kharkiv
292,293,Kharkiv,Simferopol
292,435,Kharkiv,Luhansk
293,294,Simferopol,Alushta
294,295,Alushta,Yalta
297,298,Voronezh,Novorossiysk
297,865,Voronezh,Kursk
297,866,Voronezh,Saratov
298,782,Novorossiysk,Dzhankoy
298,783,Novorossiysk,Sochi
299,300,Mineralnye Vody,Nalchik
299,314,Mineralnye Vody,Makhachkala
299,474,Mineralnye Vody,Armavir
300,301,Nalchik,Vladikavkaz
301,302,Vladikavkaz,Stepantsminda
302,303,Stepantsminda,Mtskheta
303,304,Mtskheta,Tbilisi
304,305,Tbilisi,Marneuli
304,519,Tbilisi,Gori
304,520,Tbilisi,Rustavi
305,306,Marneuli,Bolnisi
305,942,Marneuli,Sadakhlo
306,307,Bolnisi,Yerevan
307,308,Yerevan,Goris
308,309,Goris,Megri
310,311,Tambov,Povorino
311,312,Povorino,Volgograd
312,313,Volgograd,Astrakhan
312,435,Volgograd,Luhansk
313,314,Astrakhan,Makhachkala
313,321,Astrakhan,Atyrau
314,315,Makhachkala,Kuba
315,316,Kuba,Baku
316,317,Baku,Alyat
316,522,Baku,Yevlakh
317,318,Alyat,Astara
317,945,Alyat,Saatly Rayon
319,320,Samara,Oral
319,406,Samara,Penza
319,407,Samara,Ufa
320,321,Oral,Atyrau
320,866,Oral,Saratov
320,867,Oral,Aktobe
321,322,Atyrau,Beineu
321,436,Atyrau,Beyneu
322,323,Beineu,Shetpe
323,324,Shetpe,Zhetybai
324,325,Zhetybai,Fetisovo
325,326,Fetisovo,Bekdash
326,327,Bekdash,Türkmenbaşy
327,328,Türkmenbaşy,Gyzylarbat
328,523,Gyzylarbat,Ashgabat
329,330,Chelyabinsk,Kostanay
329,407,Chelyabinsk,Ufa
329,408,Chelyabinsk,Kurgan
330,331,Kostanay,Esil
331,332,Esil,Derzhavinsk
332,333,Derzhavinsk,Arkalyk
333,334,Arkalyk,Jezkazgan
334,335,Jezkazgan,Kyzylorda
334,343,Jezkazgan,Karaganda
335,336,Kyzylorda,Shymkent
335,870,Kyzylorda,Novokazalinsk
336,337,Shymkent,Tashkent
336,444,Shymkent,Zhambyl
337,338,Tashkent,Ayni
337,443,Tashkent,Jizzakh
337,954,Tashkent,Kokand
338,339,Ayni,Dushanbe
338,954,Ayni,Kokand
339,340,Dushanbe,Panji Poyon
339,531,Dushanbe,Termez
339,532,Dushanbe,Jirgatal
339,957,Dushanbe,Kulob
341,342,Ishim,Astana
341,350,Ishim,Omsk
341,408,Ishim,Kurgan
341,854,Ishim,Tyumen
342,343,Astana,Karaganda
342,976,Astana,Atbasar
343,344,Karaganda,Balkhash
343,351,Karaganda,Pavlodar
344,345,Balkhash,Burubaytal
345,346,Burubaytal,Almaty
346,347,Almaty,Bishkek
346,445,Almaty,Sary-Ozek
346,965,Almaty,Kokpek
347,348,Bishkek,Naryn
347,444,Bishkek,Zhambyl
347,956,Bishkek,Osh
348,349,Naryn,Torugart Pass
350,351,Omsk,Pavlodar
351,352,Pavlodar,Semey
351,977,Pavlodar,Uspenovka
352,353,Semey,Georgiyevka
353,354,Georgiyevka,Maikapshagai
353,449,Georgiyevka,Ayagoz
353,450,Georgiyevka,Oskemen
355,356,Å,Svolvær
357,358,Melbu,Sortland
358,359,Sortland,Lødingen
359,360,Lødingen,Evenes
360,361,Evenes,Narvik
361,362,Narvik,Kiruna
361,611,Narvik,Ballangen
361,612,Narvik,Setermoen
362,363,Kiruna,Töre
363,364,Töre,Luleå
364,800,Luleå,Umeå
364,801,Luleå,Haparanda
365,366,Shannon,Limerick
366,367,Limerick,Dublin
367,382,Dublin,Rosslare
367,590,Dublin,Drogheda
368,369,Liverpool,Manchester
369,370,Manchester,Leeds
369,840,Manchester,Warrington
370,371,Leeds,Kingston upon Hull
370,623,Leeds,Doncaster
373,374,Helsingborg,Halmstad
373,793,Helsingborg,Jönköping
375,376,Örebro,Stockholm
375,831,Örebro,Karlstad
375,832,Örebro,Västerås
376,796,Stockholm,Södertälje
376,797,Stockholm,Uppsala
377,378,Tallinn,Narva
377,711,Tallinn,Riga
377,998,Tallinn,Tartu
377,1006,Tallinn,Keila
379,380,Cork,Waterford
379,986,Cork,Portlaoise
380,381,Waterford,Wexford
381,382,Wexford,Rosslare
383,384,Fishguard,Swansea
384,385,Swansea,Bridgend
385,386,Bridgend,Cardiff
386,387,Cardiff,Newport
387,388,Newport,Bristol
389,390,Colchester,Ipswich
